iter	Passed	Remaining
0	0	801
1	1	757
2	2	705
3	2	672
4	3	651
5	3	652
6	4	644
7	5	641
8	5	642
9	6	637
10	7	630
11	7	629
12	8	626
13	8	630
14	9	630
15	10	625
16	10	623
17	11	618
18	11	615
19	12	614
20	13	613
21	13	607
22	14	600
23	14	594
24	15	590
25	15	584
26	16	578
27	16	578
28	17	576
29	17	573
30	18	571
31	18	570
32	19	567
33	19	564
34	20	561
35	20	560
36	21	559
37	21	556
38	22	553
39	23	553
40	23	552
41	24	550
42	24	548
43	25	547
44	25	545
45	26	543
46	26	542
47	27	541
48	27	539
49	28	537
50	28	537
51	29	536
52	30	536
53	30	534
54	31	533
55	31	531
56	32	530
57	32	527
58	33	526
59	33	526
60	34	524
61	34	523
62	35	522
63	35	521
64	36	519
65	36	519
66	37	517
67	37	512
68	37	512
69	38	511
70	38	510
71	39	509
72	40	508
73	40	507
74	41	506
75	41	505
76	42	506
77	42	505
78	43	504
79	43	503
80	44	502
81	44	502
82	45	501
83	45	500
84	46	498
85	46	496
86	47	494
87	47	492
88	48	492
89	48	491
90	49	490
91	49	489
92	50	488
93	50	487
94	51	486
95	51	485
96	52	485
97	52	483
98	53	483
99	53	482
100	54	482
101	54	479
102	55	478
103	55	478
104	56	478
105	56	478
106	57	477
107	57	477
108	58	477
109	58	476
110	59	476
111	60	475
112	60	475
113	61	474
114	61	473
115	61	471
116	62	471
117	62	470
118	63	469
119	63	469
120	64	468
121	65	467
122	65	465
123	65	464
124	66	464
125	66	463
126	67	462
127	67	461
128	68	460
129	68	459
130	69	459
131	69	458
132	70	458
133	70	458
134	71	457
135	72	460
136	72	459
137	73	458
138	73	457
139	74	457
140	75	457
141	75	456
142	76	455
143	76	455
144	77	455
145	77	455
146	78	454
147	78	454
148	79	453
149	79	453
150	80	452
151	81	452
152	81	451
153	82	451
154	82	450
155	83	449
156	83	448
157	84	448
158	84	447
159	85	448
160	86	449
161	86	449
162	87	448
163	88	448
164	88	448
165	89	448
166	89	447
167	90	447
168	90	447
169	91	447
170	92	446
171	92	446
172	93	446
173	93	445
174	94	445
175	95	445
176	95	444
177	96	443
178	96	443
179	97	442
180	97	440
181	98	442
182	99	442
183	99	442
184	100	442
185	100	441
186	101	440
187	101	440
188	102	439
189	103	439
190	103	438
191	104	438
192	104	438
193	105	437
194	105	437
195	106	436
196	106	435
197	107	435
198	108	434
199	108	434
200	109	433
201	109	433
202	110	432
203	110	432
204	111	431
205	111	431
206	112	430
207	112	429
208	113	429
209	113	428
210	114	427
211	114	427
212	115	426
213	115	426
214	116	425
215	117	424
216	117	424
217	118	423
218	118	422
219	119	422
220	119	422
221	120	421
222	120	421
223	121	421
224	122	420
225	122	420
226	123	419
227	123	419
228	124	418
229	124	418
230	125	417
231	126	417
232	126	416
233	127	415
234	127	415
235	128	414
236	128	414
237	129	413
238	129	413
239	130	412
240	130	411
241	131	411
242	131	410
243	132	410
244	132	409
245	133	409
246	134	408
247	134	407
248	135	407
249	135	407
250	136	406
251	136	406
252	137	405
253	137	405
254	138	404
255	138	403
256	139	403
257	139	402
258	140	401
259	140	401
260	141	400
261	142	400
262	143	401
263	143	400
264	144	400
265	145	400
266	145	399
267	146	399
268	146	398
269	147	397
270	147	397
271	148	397
272	148	396
273	149	396
274	150	395
275	150	395
276	151	395
277	151	394
278	152	394
279	153	393
280	153	393
281	154	392
282	154	392
283	155	392
284	156	391
285	156	391
286	157	390
287	157	390
288	158	389
289	158	389
290	159	388
291	160	388
292	160	388
293	161	387
294	162	387
295	162	386
296	163	386
297	163	385
298	164	385
299	164	384
300	165	384
301	165	383
302	166	382
303	167	382
304	167	382
305	168	381
306	168	380
307	169	380
308	169	379
309	170	379
310	170	378
311	171	378
312	172	377
313	172	377
314	173	376
315	173	376
316	174	376
317	175	375
318	175	375
319	176	374
320	176	374
321	177	373
322	178	373
323	178	372
324	179	372
325	180	372
326	180	372
327	181	371
328	181	371
329	182	370
330	183	370
331	183	369
332	184	368
333	184	368
334	185	367
335	185	367
336	186	366
337	186	366
338	187	365
339	188	365
340	188	364
341	189	364
342	189	363
343	190	362
344	190	362
345	191	361
346	192	361
347	192	360
348	193	360
349	193	359
350	194	359
351	194	358
352	195	358
353	196	357
354	196	357
355	197	356
356	197	356
357	198	355
358	198	355
359	199	354
360	199	353
361	200	353
362	201	352
363	201	352
364	202	351
365	202	351
366	203	350
367	203	350
368	204	349
369	205	349
370	205	348
371	206	348
372	206	347
373	207	347
374	208	346
375	208	346
376	209	345
377	209	345
378	210	344
379	210	344
380	211	343
381	211	342
382	212	342
383	213	341
384	213	341
385	214	340
386	214	340
387	215	339
388	215	339
389	216	338
390	217	338
391	217	337
392	218	337
393	219	337
394	220	336
395	220	336
396	221	336
397	221	335
398	222	335
399	223	334
400	223	334
401	224	333
402	224	333
403	225	332
404	225	331
405	226	331
406	227	330
407	227	330
408	228	329
409	228	329
410	229	328
411	230	328
412	230	328
413	231	327
414	232	327
415	232	326
416	233	326
417	233	325
418	234	325
419	235	324
420	235	324
421	236	323
422	236	323
423	237	322
424	237	321
425	238	321
426	239	320
427	239	320
428	240	319
429	240	319
430	241	318
431	241	317
432	242	317
433	242	316
434	243	316
435	243	315
436	244	314
437	244	314
438	245	313
439	245	313
440	246	312
441	246	311
442	247	311
443	248	310
444	248	310
445	249	309
446	249	309
447	250	308
448	250	307
449	251	307
450	251	306
451	252	306
452	253	305
453	253	305
454	254	304
455	254	303
456	255	303
457	255	302
458	256	302
459	256	301
460	257	300
461	257	300
462	258	299
463	258	299
464	259	298
465	260	298
466	260	297
467	261	297
468	262	296
469	262	296
470	263	295
471	263	295
472	264	294
473	265	294
474	265	293
475	266	293
476	266	292
477	267	292
478	267	291
479	268	290
480	269	290
481	269	289
482	270	289
483	270	288
484	271	288
485	272	287
486	272	287
487	273	286
488	273	286
489	274	285
490	275	285
491	275	284
492	276	284
493	276	283
494	277	283
495	278	282
496	278	281
497	279	281
498	279	280
499	280	280
500	280	279
501	281	278
502	281	278
503	282	277
504	282	277
505	283	276
506	283	276
507	284	275
508	285	275
509	285	274
510	286	273
511	286	273
512	287	272
513	287	271
514	288	271
515	288	270
516	289	270
517	289	269
518	290	269
519	290	268
520	291	267
521	292	267
522	292	266
523	293	266
524	293	265
525	294	265
526	294	264
527	295	264
528	295	263
529	296	262
530	297	262
531	297	261
532	298	261
533	298	260
534	299	260
535	299	259
536	300	258
537	301	258
538	301	258
539	302	257
540	303	257
541	303	256
542	304	256
543	304	255
544	305	254
545	305	254
546	306	253
547	306	253
548	307	252
549	308	252
550	308	251
551	309	250
552	309	250
553	310	249
554	310	249
555	311	248
556	311	248
557	312	247
558	312	246
559	313	246
560	313	245
561	314	245
562	314	244
563	315	243
564	316	243
565	316	242
566	317	242
567	317	241
568	318	240
569	318	240
570	319	239
571	319	239
572	320	238
573	320	238
574	321	237
575	321	236
576	322	236
577	322	235
578	323	235
579	324	234
